state,district,UFI,UFI_Category,demo_update_intensity_normalized,bio_refresh_rate_normalized,age_disparity_normalized,update_enrol_ratio_normalized,temporal_volatility_normalized
Kerala,Wayanad,94.59581764466624,Very High Friction,15.18871157907012,10.229862581303859,1.925915676804049,45.40019658194922,53.607993535351085
Sikkim,East,90.37783336714968,Very High Friction,13.28372772310934,1.5703950182016746,3.5246845132320197,21.086758586738842,48.10441653506341
Bihar,Kishanganj,89.97516186490542,Very High Friction,17.935450490433848,6.4110037476779524,12.480403267134859,22.204218055192023,36.927747020956396
Tripura,West Tripura,88.6421460229479,Very High Friction,18.44407926436739,1.6854887783542674,0.4709426730020098,51.301130742068466,57.42729869200021
Gujarat,Narmada,86.56294932158791,Very High Friction,11.441946717664086,15.039732162225919,1.0282067641415333,44.94223048199192,78.50074256082011
Uttarakhand,Udham Singh Nagar,85.8391101771172,Very High Friction,27.81498241319462,2.708628693504266,30.27157496661986,29.588152512139686,91.87572806943216
Assam,Bongaigaon,85.17980238041064,Very High Friction,10.665691739268373,0.5109143831056212,0.16474622159568386,12.403982812402043,90.99825186151183
Punjab,Ferozepur,84.51532712271228,Very High Friction,18.997694054929674,31.896427642495752,16.86671262026778,51.07134043576623,80.06709094744939
Tamil Nadu,Tiruppur,84.15054811275726,Very High Friction,15.036689229243544,10.38785446895796,48.27497968729876,31.80774115166675,68.62808309981534
Karnataka,Hassan,84.14486387731256,Very High Friction,19.269410420779252,1.1595763879613226,21.056321488783723,34.241406862843185,79.94083995788874
Nagaland,Mokokchung,84.11691533878141,Very High Friction,4.337440720616752,0.4859685379210815,0.07119410084138163,14.355080703193279,63.045859999542465
Mizoram,Mamit,84.09414517069649,Very High Friction,10.331259188681251,0.8284523032640795,0.3716616778326204,79.62556588943836,69.8306047599804
Rajasthan,Ganganagar,81.82939344308636,Very High Friction,17.077289198303244,41.070134807502576,4.9359666922664625,30.898502260578613,81.87482768414955
Haryana,Panchkula,81.14086658547025,Very High Friction,35.20578751523429,2.3691596085964144,18.155318729311258,59.328574482428365,88.55134583217622
Madhya Pradesh,Mandla,80.45984995574216,Very High Friction,21.139503804829705,32.71472636621745,20.6520074050455,29.542682589273383,91.82524490261775
West Bengal,West Midnapore,79.66814267733929,Very High Friction,14.0115499308756,1.987692384999353,20.44627304496842,14.261870201189438,7.685346311292619
Karnataka,Mandya,78.1279662851201,Very High Friction,15.780429653700667,0.8888865016193517,22.6800548629012,35.2500743307121,69.96403742628384
Odisha,Ganjam,77.94777462337406,Very High Friction,11.86987334948486,2.118932097895281,25.74973938152713,30.38023881716875,66.58628044752099
Jammu And Kashmir,Budgam,77.94014761232371,Very High Friction,33.60614128686958,0.18608954417169168,3.3226017432221298,47.563737882884816,93.8963492998382
Punjab,Mansa,77.51644386533081,Very High Friction,22.34315750412734,0.7863844791238278,5.134718749987801,68.69622262130221,81.27065822040359
